gsi_id,fish_id,collection,mixture_collection,id_source,pbt_brood_year,pbt_brood_collection,repunit_1,prob_1,repunit_2,prob_2,repunit_3,prob_3,repunit_4,prob_4,repunit_5," prob_5",top_collection,top_collection_prob,file_name
301_2020_2021_3174,N3174,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3175,N3175,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.51294,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3177,N3177,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,UCR-SuF,99.719070000000002,SR-F,0.27267000000000002,OK,8.26E-3,,,,,WENATCHEE_RIVER,95.721710000000002,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3178,N3178,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3179,N3179,WC_microtroll(20-21),removed,Too few loci,,,,,,,,,,,,,,,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3180,N3180,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3181,N3181,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3182,N3182,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.999989999999997,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3183,N3183,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3184,N3184,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.988799999999998,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3186,N3186,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.929090000000002,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3187,N3187,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.998859999999993,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3188,N3188,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.999960000000002,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2807,N2807,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,100,,,,,,,,,CONUMA_RIVER,93.724130000000002,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2808,N2808,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,100,,,,,,,,,SKAGIT_RIVER,99.999769999999998,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2809,N2809,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SPS,94.665629999999993,NPS,5.3343600000000002,QP-fall,1.0000000000000001E-5,,,,,SOOS_CREEK,94.664940000000001,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2810,N2810,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2811,N2811,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,100,,,,,,,,,CONUMA_RIVER,64.824770000000001,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2812,N2812,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,99.999989999999997,SPS,1.0000000000000001E-5,,,,,,,SNOHOMISH_RIVER,86.683689999999999,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2813,N2813,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.999970000000005,SWVI,3.0000000000000001E-5,,,,,,,CONUMA_RIVER,95.328500000000005,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2814,N2814,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.999799999999993,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2815,N2815,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,NoKy,100,,,,,,,,,LEINER_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2816,N2816,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SPS,99.830430000000007,NPS,0.16957,,,,,,,SOOS_CREEK,99.623450000000005,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2817,N2817,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.999899999999997,SWVI,1E-4,,,,,,,TAHSIS_RIVER,63.445549999999997,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2818,N2818,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,100,,,,,,,,,CONUMA_RIVER,95.943449999999999,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2819,N2819,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2820,N2820,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SWVI,99.999979999999994,NoKy,2.0000000000000002E-5,,,,,,,ROBERTSON_CREEK,99.986779999999996,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2821,N2821,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,99.3142,SPS,0.68579999999999997,,,,,,,SNOHOMISH_RIVER,97.816289999999995,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2822,N2822,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,NoKy,100,,,,,,,,,CONUMA_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
